Team,Variable,ADF Statistic,p-value
AC Milan,League Standing,-0.4086514987502552,0.9086442346855148
AC Milan,Net Profit Margin,-1.0876425491406199,0.7199746710377145
AC Milan,Firm Size,-1.3097024339262908,0.6247218308384705
AC Milan,Leverage,-2.607588474588926,0.09143900490726004
AC Milan,Growth,-1.4064859703375283,0.5791627430584176
AC Milan,Return on Equity,-2.3141172965138783,0.16745527903842072
AC Milan,Goal Ratio,0.21498178383506597,0.9730894685975862
AS Monaco,League Standing,-1.7576288712621622,0.4016912715706489
AS Monaco,Net Profit Margin,-0.19268526235376932,0.9393879166669995
AS Monaco,Firm Size,-2.3173093291638605,0.16644612406890963
AS Monaco,Leverage,-27.41668867867314,0.0
AS Monaco,Growth,-1.5835024206441577,0.491875282250566
AS Monaco,Return on Equity,0.8731415597210931,0.9927296126337524
AS Monaco,Goal Ratio,-1.869702779299579,0.3464453128414593
AS Saint-Étienne,League Standing,-1.3180789501385946,0.620861121981143
AS Saint-Étienne,Net Profit Margin,2.360920394712454,0.998990715528075
AS Saint-Étienne,Firm Size,-2.0786297196308805,0.25319405976839376
AS Saint-Étienne,Leverage,-0.8951070093832322,0.7895794786776615
AS Saint-Étienne,Growth,-1.2617236235914515,0.6464969061788506
AS Saint-Étienne,Return on Equity,6.668124097884173,1.0
AS Saint-Étienne,Goal Ratio,-1.3307603087787405,0.6149846108744399
Alanyaspor,League Standing,-1.7322133422483112,0.4145962541145834
Alanyaspor,Net Profit Margin,-0.7997366207516089,0.8191994210548188
Alanyaspor,Firm Size,-4.099093966498013,0.0009718697267391887
Alanyaspor,Leverage,-1.348306860768454,0.6067925598660148
Alanyaspor,Growth,-4.283757262646119,0.00047387862994380893
Alanyaspor,Return on Equity,-2.639436829869213,0.0851172791361759
Alanyaspor,Goal Ratio,-1.663845265993865,0.44983009530648144
Angers SCO,League Standing,-1.4907119849998596,0.5381008814381879
Angers SCO,Net Profit Margin,-1.9369904126002184,0.31486464822489857
Angers SCO,Firm Size,-3.3041635819255064,0.014693384992275276
Angers SCO,Leverage,-1.4360585246251543,0.5648724008654296
Angers SCO,Growth,-2.327888780652555,0.16313096179680725
Angers SCO,Return on Equity,-2.071053397494751,0.25631230879392397
Angers SCO,Goal Ratio,-1.425899790216944,0.5697983952311991
Antalyaspor,League Standing,-2.7347137573984632,0.06822148154974282
Antalyaspor,Net Profit Margin,-3.163228656576356,0.02221427511229856
Antalyaspor,Firm Size,-2.144220203939043,0.22710899962550307
Antalyaspor,Leverage,-1.444662728657206,0.5606870097730052
Antalyaspor,Growth,-5.485488336599916,2.2348933565420545e-06
Antalyaspor,Return on Equity,-1.6989235274640633,0.4316671930836037
Antalyaspor,Goal Ratio,0.01646708096749688,0.9598728997909427
Arsenal,League Standing,-1.525425539619381,0.5208983016649543
Arsenal,Net Profit Margin,-2.0079916628705496,0.2830800644254067
Arsenal,Firm Size,-1.8564811370139804,0.3528023444328377
Arsenal,Leverage,-0.3188091428591264,0.9227978266707798
Arsenal,Growth,-1.362384328580376,0.6001708729137462
Arsenal,Return on Equity,-1.5541624548538138,0.506568340463037
Arsenal,Goal Ratio,-2.312953648433206,0.16782419127289477
Atalanta,League Standing,-1.7,0.4311124768686236
Atalanta,Net Profit Margin,-1.1555123427093656,0.6924346500873507
Atalanta,Firm Size,-1.3714792364362596,0.5958704077980547
Atalanta,Leverage,-1.0939922601081573,0.7174617661452114
Atalanta,Growth,-1.7917343067726224,0.38457303395040476
Atalanta,Return on Equity,-0.13290478634259453,0.9460608546073942
Atalanta,Goal Ratio,-1.3108659950529173,0.6241865617945552
Athletic Bilbao,League Standing,-5.592327894010802,1.320483668816104e-06
Athletic Bilbao,Net Profit Margin,-2.139010821167864,0.22912011745814836
Athletic Bilbao,Firm Size,-0.12150457530459012,0.947254021743941
Athletic Bilbao,Leverage,-0.18621936559700517,0.9401444215925772
Athletic Bilbao,Growth,-2.8936296442530125,0.04609381396082991
Athletic Bilbao,Return on Equity,-2.6870829094616777,0.07630028594129795
Athletic Bilbao,Goal Ratio,-0.6014742547477342,0.8706485576103058
Atlético Madrid,League Standing,-4.618802153517005,0.00011924542994731737
Atlético Madrid,Net Profit Margin,-1.2320644149745368,0.659652602403229
Atlético Madrid,Firm Size,-1.999744383659002,0.2866851892726546
Atlético Madrid,Leverage,-14.735757454530113,2.6171308922707035e-27
Atlético Madrid,Growth,-1.5618367365935246,0.50273043682042
Atlético Madrid,Return on Equity,-1.6010086914546362,0.4830867501959528
Atlético Madrid,Goal Ratio,-3.163791490366629,0.022178587102596153
Barcelona,League Standing,-1.166666666666666,0.6877680568948817
Barcelona,Net Profit Margin,-2.023732849363436,0.27626498628022567
Barcelona,Firm Size,-3.047164156653983,0.030718496171629174
Barcelona,Leverage,-1.1455459531972003,0.6965713698096052
Barcelona,Growth,-2.431641683771443,0.13300417480376026
Barcelona,Return on Equity,-2.443585744182868,0.12981051158815066
Barcelona,Goal Ratio,-2.406648866535194,0.13986860245712607
Beşiktaş,League Standing,-2.8316394223456167,0.05389449448105225
Beşiktaş,Net Profit Margin,-2.687282534653034,0.07626491838441067
Beşiktaş,Firm Size,-2.783258713868988,0.06070522017188435
Beşiktaş,Leverage,-0.9436037796308288,0.7732742727782873
Beşiktaş,Growth,-1.3107378720783016,0.6242455178628805
Beşiktaş,Return on Equity,-1.9914375426592938,0.290340012274318
Beşiktaş,Goal Ratio,-2.6813823533178076,0.07731571416295234
Bologna,League Standing,-4.989078982227994,2.3324569456760937e-05
Bologna,Net Profit Margin,-1.5811205268197195,0.493069970576283
Bologna,Firm Size,-1.097465257520824,0.7160816718885344
Bologna,Leverage,-0.7044614445808036,0.8455905361710848
Bologna,Growth,-1.5845891647842325,0.49133010913167346
Bologna,Return on Equity,1.6036500105496194,0.997868484942869
Bologna,Goal Ratio,-2.8081051427316153,0.05712530071348621
Brighton & Hove Albion,League Standing,-0.955779008721951,0.7690494508519905
Brighton & Hove Albion,Net Profit Margin,-1.3759488622677443,0.5937506919724704
Brighton & Hove Albion,Firm Size,-0.8666827633613297,0.7987462147365275
Brighton & Hove Albion,Leverage,-2.5130773535296878,0.11232479994116695
Brighton & Hove Albion,Growth,-1.5541700041929136,0.5065645671081915
Brighton & Hove Albion,Return on Equity,-1.543514062891409,0.511886354657666
Brighton & Hove Albion,Goal Ratio,0.18334349151180904,0.9713117543595634
Burnley,League Standing,-1.939677702183292,0.3136317280864812
Burnley,Net Profit Margin,-2.034802998777598,0.27152469018180225
Burnley,Firm Size,1.550648164628899,0.9977016969908623
Burnley,Leverage,-0.7648011754578078,0.8292434834653424
Burnley,Growth,-2.136025347145931,0.23027745247815345
Burnley,Return on Equity,-2.8740950954415005,0.04844437888758045
Burnley,Goal Ratio,-2.7387653096355917,0.06756702078867985
Celta Vigo,League Standing,-1.2188828110026444,0.665420517067082
Celta Vigo,Net Profit Margin,-0.9901690901100518,0.7568329905398519
Celta Vigo,Firm Size,-4.808837158710397,5.23080080515506e-05
Celta Vigo,Leverage,-1.665607480413259,0.4489139233251422
Celta Vigo,Growth,-2.3500228349259307,0.15634150773241273
Celta Vigo,Return on Equity,-3.284762470427952,0.01557348448140954
Celta Vigo,Goal Ratio,-1.3650969664930805,0.5988900346561695
Chelsea,League Standing,-4.242640687119286,0.0005575488294533369
Chelsea,Net Profit Margin,-2.5492723432028703,0.10394129735290702
Chelsea,Firm Size,-3.3845852494947133,0.011495718934133932
Chelsea,Leverage,-1.734857026275471,0.413248439899896
Chelsea,Growth,-1.5491115371178905,0.5090919644563764
Chelsea,Return on Equity,-2.328547558130886,0.16292602700384717
Chelsea,Goal Ratio,-0.3936491599212705,0.9111537523073545
Crystal Palace,League Standing,-1.594763064147534,0.48622365548952357
Crystal Palace,Net Profit Margin,-2.017903846474108,0.27877847829465197
Crystal Palace,Firm Size,-1.447460655545283,0.5593234727309498
Crystal Palace,Leverage,-0.8311248085509901,0.8098080158219789
Crystal Palace,Growth,-1.65177494527201,0.4561149031955895
Crystal Palace,Return on Equity,-1.9801952642900211,0.2953237227368468
Crystal Palace,Goal Ratio,-1.5741063672993043,0.496586329579484
Everton,League Standing,-0.583459965991578,0.8746757691880045
Everton,Net Profit Margin,-2.1261788449248282,0.23411906385254427
Everton,Firm Size,-1.8734293843690868,0.34466212530713497
Everton,Leverage,-1.5715771059387535,0.4978536302903183
Everton,Growth,-2.578520151696946,0.09751847558178833
Everton,Return on Equity,-1.5316125240134586,0.5178191724007856
Everton,Goal Ratio,-3.3766225360002964,0.011782096594582861
Fenerbahçe,League Standing,-1.4142135623730945,0.5754433086874293
Fenerbahçe,Net Profit Margin,-6.658049827270209,4.926767412578993e-09
Fenerbahçe,Firm Size,-1.3077710952330304,0.6256095711634567
Fenerbahçe,Leverage,-38.059534636277,0.0
Fenerbahçe,Growth,-2.4313270820684494,0.1330890511239941
Fenerbahçe,Return on Equity,-1.3061668587871031,0.6263462667252624
Fenerbahçe,Goal Ratio,-2.130900984562572,0.23227202523137308
Fiorentina,League Standing,-3.7527767497325666,0.0034291576312081096
